Game Title,Game ID,Year,Average Rating,Number of Voters,Weight,Weight Votes,Owned,Type,Player Count,Best %,Best Votes,Recommended %,Recommended Votes,Not Recommended %,Not Recommended Votes,Vote Count
Kingdom Death: Monster – Gambler's Chest,215370,2023,9.48,188,4.64,11,Not Owned,Expansion,1,75.0,3,0.0,0,25.0,1,4
Kingdom Death: Monster – Gambler's Chest,215370,2023,9.48,188,4.64,11,Not Owned,Expansion,2,50.0,2,25.0,1,25.0,1,4
Kingdom Death: Monster – Gambler's Chest,215370,2023,9.48,188,4.64,11,Not Owned,Expansion,3,40.0,2,60.0,3,0.0,0,5
Kingdom Death: Monster – Gambler's Chest,215370,2023,9.48,188,4.64,11,Not Owned,Expansion,4,60.0,3,40.0,2,0.0,0,5
Kingdom Death: Monster – Gambler's Chest,215370,2023,9.48,188,4.64,11,Not Owned,Expansion,5,0.0,0,50.0,2,50.0,2,4
Kingdom Death: Monster – Gambler's Chest,215370,2023,9.48,188,4.64,11,Not Owned,Expansion,6,0.0,0,25.0,1,75.0,3,4
Spirit Island: Nature Incarnate,365137,2023,9.41,618,4.32,25,Not Owned,Expansion,1,40.0,10,52.0,13,8.0,2,25
Spirit Island: Nature Incarnate,365137,2023,9.41,618,4.32,25,Not Owned,Expansion,2,65.2,15,30.4,7,4.3,1,23
Spirit Island: Nature Incarnate,365137,2023,9.41,618,4.32,25,Not Owned,Expansion,3,43.5,10,52.2,12,4.3,1,23
Spirit Island: Nature Incarnate,365137,2023,9.41,618,4.32,25,Not Owned,Expansion,4,23.8,5,52.4,11,23.8,5,21
Spirit Island: Nature Incarnate,365137,2023,9.41,618,4.32,25,Not Owned,Expansion,5,15.0,3,40.0,8,45.0,9,20
Spirit Island: Nature Incarnate,365137,2023,9.41,618,4.32,25,Not Owned,Expansion,6,15.0,3,30.0,6,55.0,11,20
Spirit Island: Jagged Earth,262722,2020,9.35,4410,4.52,209,Not Owned,Expansion,1,41.8,46,55.5,61,2.7,3,110
Spirit Island: Jagged Earth,262722,2020,9.35,4410,4.52,209,Not Owned,Expansion,2,72.8,83,27.2,31,0.0,0,114
Spirit Island: Jagged Earth,262722,2020,9.35,4410,4.52,209,Not Owned,Expansion,3,62.6,67,33.6,36,3.7,4,107
Spirit Island: Jagged Earth,262722,2020,9.35,4410,4.52,209,Not Owned,Expansion,4,29.5,31,54.3,57,16.2,17,105
Spirit Island: Jagged Earth,262722,2020,9.35,4410,4.52,209,Not Owned,Expansion,5,11.8,11,45.2,42,43.0,40,93
Spirit Island: Jagged Earth,262722,2020,9.35,4410,4.52,209,Not Owned,Expansion,6,12.0,11,35.9,33,52.2,48,92
The Crimson Scales,365186,2021,9.32,190,3.88,8,Not Owned,Expansion,1,0.0,0,66.7,4,33.3,2,6
The Crimson Scales,365186,2021,9.32,190,3.88,8,Not Owned,Expansion,2,66.7,4,33.3,2,0.0,0,6
The Crimson Scales,365186,2021,9.32,190,3.88,8,Not Owned,Expansion,3,66.7,4,33.3,2,0.0,0,6
The Crimson Scales,365186,2021,9.32,190,3.88,8,Not Owned,Expansion,4,66.7,4,33.3,2,0.0,0,6
The Fantasy Trip: Legacy Edition,256885,2019,9.3,399,2.83,6,Not Owned,Base Game,1,0.0,0,50.0,1,50.0,1,2
The Fantasy Trip: Legacy Edition,256885,2019,9.3,399,2.83,6,Not Owned,Base Game,2,50.0,1,50.0,1,0.0,0,2
The Fantasy Trip: Legacy Edition,256885,2019,9.3,399,2.83,6,Not Owned,Base Game,3,0.0,0,100.0,2,0.0,0,2
The Fantasy Trip: Legacy Edition,256885,2019,9.3,399,2.83,6,Not Owned,Base Game,4,0.0,0,100.0,1,0.0,0,1
The Fantasy Trip: Legacy Edition,256885,2019,9.3,399,2.83,6,Not Owned,Base Game,5,33.3,1,33.3,1,33.3,1,3
The Fantasy Trip: Legacy Edition,256885,2019,9.3,399,2.83,6,Not Owned,Base Game,6,0.0,0,100.0,1,0.0,0,1
The Fantasy Trip: Legacy Edition,256885,2019,9.3,399,2.83,6,Not Owned,Base Game,7,0,0,0,0,0,0,0
The Fantasy Trip: Legacy Edition,256885,2019,9.3,399,2.83,6,Not Owned,Base Game,8,0,0,0,0,0,0,0
The Fantasy Trip: Legacy Edition,256885,2019,9.3,399,2.83,6,Not Owned,Base Game,9,0,0,0,0,0,0,0
The Fantasy Trip: Legacy Edition,256885,2019,9.3,399,2.83,6,Not Owned,Base Game,10,0,0,0,0,0,0,0
Malhya: Lands of Legends,274471,2024,9.25,147,3.42,12,Not Owned,Base Game,1,50.0,2,50.0,2,0.0,0,4
Malhya: Lands of Legends,274471,2024,9.25,147,3.42,12,Not Owned,Base Game,2,50.0,2,50.0,2,0.0,0,4
Malhya: Lands of Legends,274471,2024,9.25,147,3.42,12,Not Owned,Base Game,3,0.0,0,100.0,3,0.0,0,3
Malhya: Lands of Legends,274471,2024,9.25,147,3.42,12,Not Owned,Base Game,4,0.0,0,100.0,4,0.0,0,4
Malhya: Lands of Legends,274471,2024,9.25,147,3.42,12,Not Owned,Base Game,5,0.0,0,100.0,2,0.0,0,2
Wings of the Motherland,85147,2019,9.23,120,4.33,15,Not Owned,Base Game,1,12.5,1,75.0,6,12.5,1,8
Wings of the Motherland,85147,2019,9.23,120,4.33,15,Not Owned,Base Game,2,75.0,6,25.0,2,0.0,0,8
Wings of the Motherland,85147,2019,9.23,120,4.33,15,Not Owned,Base Game,3,14.3,1,85.7,6,0.0,0,7
Wings of the Motherland,85147,2019,9.23,120,4.33,15,Not Owned,Base Game,4,71.4,5,28.6,2,0.0,0,7
Wings of the Motherland,85147,2019,9.23,120,4.33,15,Not Owned,Base Game,5,0.0,0,85.7,6,14.3,1,7
Wings of the Motherland,85147,2019,9.23,120,4.33,15,Not Owned,Base Game,6,42.9,3,42.9,3,14.3,1,7
Wings of the Motherland,85147,2019,9.23,120,4.33,15,Not Owned,Base Game,7,0.0,0,85.7,6,14.3,1,7
Wings of the Motherland,85147,2019,9.23,120,4.33,15,Not Owned,Base Game,8,42.9,3,42.9,3,14.3,1,7
Red Factories: ASL Historical Module 10,209456,2019,9.22,121,4.43,7,Not Owned,Expansion,1,0.0,0,0.0,0,100.0,1,1
Red Factories: ASL Historical Module 10,209456,2019,9.22,121,4.43,7,Not Owned,Expansion,2,100.0,1,0.0,0,0.0,0,1
System Update 2021 (fan expansion for Android: Netrunner),345881,2021,9.21,126,0.0,0,Not Owned,Expansion,1,0,0,0,0,0,0,0
System Update 2021 (fan expansion for Android: Netrunner),345881,2021,9.21,126,0.0,0,Not Owned,Expansion,2,0,0,0,0,0,0,0
Kingdom Death: Monster – Dragon King Expansion,135034,2016,9.21,292,4.25,4,Not Owned,Expansion,1,0.0,0,100.0,1,0.0,0,1
Kingdom Death: Monster – Dragon King Expansion,135034,2016,9.21,292,4.25,4,Not Owned,Expansion,2,100.0,1,0.0,0,0.0,0,1
Kingdom Death: Monster – Dragon King Expansion,135034,2016,9.21,292,4.25,4,Not Owned,Expansion,3,0.0,0,100.0,1,0.0,0,1
Kingdom Death: Monster – Dragon King Expansion,135034,2016,9.21,292,4.25,4,Not Owned,Expansion,4,50.0,1,50.0,1,0.0,0,2
Kingdom Death: Monster – Dragon King Expansion,135034,2016,9.21,292,4.25,4,Not Owned,Expansion,5,0.0,0,0.0,0,100.0,1,1
Kingdom Death: Monster – Dragon King Expansion,135034,2016,9.21,292,4.25,4,Not Owned,Expansion,6,0.0,0,0.0,0,100.0,1,1
System Gateway (fan expansion for Android: Netrunner),345976,2021,9.19,531,3.43,14,Not Owned,Base Game,1,0.0,0,0.0,0,100.0,6,6
System Gateway (fan expansion for Android: Netrunner),345976,2021,9.19,531,3.43,14,Not Owned,Base Game,2,100.0,8,0.0,0,0.0,0,8
Twilight Imperium: Fourth Edition – Prophecy of Kings,315895,2020,9.18,2346,4.41,87,Owned,Expansion,1,0.0,0,0.0,0,100.0,53,53
Twilight Imperium: Fourth Edition – Prophecy of Kings,315895,2020,9.18,2346,4.41,87,Owned,Expansion,2,0.0,0,1.9,1,98.1,53,54
Twilight Imperium: Fourth Edition – Prophecy of Kings,315895,2020,9.18,2346,4.41,87,Owned,Expansion,3,0.0,0,45.2,28,54.8,34,62
Twilight Imperium: Fourth Edition – Prophecy of Kings,315895,2020,9.18,2346,4.41,87,Owned,Expansion,4,18.3,11,65.0,39,16.7,10,60
Twilight Imperium: Fourth Edition – Prophecy of Kings,315895,2020,9.18,2346,4.41,87,Owned,Expansion,5,26.3,15,70.2,40,3.5,2,57
Twilight Imperium: Fourth Edition – Prophecy of Kings,315895,2020,9.18,2346,4.41,87,Owned,Expansion,6,90.8,59,9.2,6,0.0,0,65
Twilight Imperium: Fourth Edition – Prophecy of Kings,315895,2020,9.18,2346,4.41,87,Owned,Expansion,7,5.6,3,77.8,42,16.7,9,54
Twilight Imperium: Fourth Edition – Prophecy of Kings,315895,2020,9.18,2346,4.41,87,Owned,Expansion,8,19.3,11,47.4,27,33.3,19,57
AFU: Armed Forces of Ukraine,368789,2022,9.16,514,2.43,7,Not Owned,Base Game,1,60.0,3,40.0,2,0.0,0,5
AFU: Armed Forces of Ukraine,368789,2022,9.16,514,2.43,7,Not Owned,Base Game,2,42.9,3,57.1,4,0.0,0,7
The Castles of Burgundy: Special Edition,363622,2023,9.16,5259,2.86,138,Not Owned,Base Game,1,10.7,9,64.3,54,25.0,21,84
The Castles of Burgundy: Special Edition,363622,2023,9.16,5259,2.86,138,Not Owned,Base Game,2,75.6,96,22.0,28,2.4,3,127
The Castles of Burgundy: Special Edition,363622,2023,9.16,5259,2.86,138,Not Owned,Base Game,3,41.9,44,55.2,58,2.9,3,105
The Castles of Burgundy: Special Edition,363622,2023,9.16,5259,2.86,138,Not Owned,Base Game,4,15.1,16,60.4,64,24.5,26,106
Rising Sun: ASL Module 13,135895,2013,9.12,218,4.72,25,Not Owned,Expansion,1,0.0,0,0.0,0,100.0,1,1
Rising Sun: ASL Module 13,135895,2013,9.12,218,4.72,25,Not Owned,Expansion,2,100.0,1,0.0,0,0.0,0,1
Rising Sun: ASL Module 13,135895,2013,9.12,218,4.72,25,Not Owned,Expansion,3,0.0,0,0.0,0,100.0,1,1
Rising Sun: ASL Module 13,135895,2013,9.12,218,4.72,25,Not Owned,Expansion,4,0.0,0,0.0,0,100.0,1,1
Spirit Island: Promo Pack 2,263778,2020,9.1,890,4.55,22,Not Owned,Expansion,1,33.3,3,66.7,6,0.0,0,9
Spirit Island: Promo Pack 2,263778,2020,9.1,890,4.55,22,Not Owned,Expansion,2,100.0,9,0.0,0,0.0,0,9
Spirit Island: Promo Pack 2,263778,2020,9.1,890,4.55,22,Not Owned,Expansion,3,55.6,5,44.4,4,0.0,0,9
Spirit Island: Promo Pack 2,263778,2020,9.1,890,4.55,22,Not Owned,Expansion,4,11.1,1,88.9,8,0.0,0,9
Aeon Trespass: Odyssey,242705,2022,9.08,2164,4.73,327,Not Owned,Base Game,1,67.7,84,26.6,33,5.6,7,124
Aeon Trespass: Odyssey,242705,2022,9.08,2164,4.73,327,Not Owned,Base Game,2,57.4,66,37.4,43,5.2,6,115
Aeon Trespass: Odyssey,242705,2022,9.08,2164,4.73,327,Not Owned,Base Game,3,6.9,7,59.8,61,33.3,34,102
Aeon Trespass: Odyssey,242705,2022,9.08,2164,4.73,327,Not Owned,Base Game,4,14.0,15,49.5,53,36.4,39,107
Yanks: ASL Module 3a,207480,2016,9.06,199,4.62,8,Not Owned,Expansion,1,0,0,0,0,0,0,0
Yanks: ASL Module 3a,207480,2016,9.06,199,4.62,8,Not Owned,Expansion,2,0,0,0,0,0,0,0
Kingdom Death: Monster – Dung Beetle Knight Expansion,135179,2016,9.05,244,4.0,3,Not Owned,Expansion,1,0,0,0,0,0,0,0
Kingdom Death: Monster – Dung Beetle Knight Expansion,135179,2016,9.05,244,4.0,3,Not Owned,Expansion,2,0,0,0,0,0,0,0
Kingdom Death: Monster – Dung Beetle Knight Expansion,135179,2016,9.05,244,4.0,3,Not Owned,Expansion,3,0,0,0,0,0,0,0
Kingdom Death: Monster – Dung Beetle Knight Expansion,135179,2016,9.05,244,4.0,3,Not Owned,Expansion,4,100.0,1,0.0,0,0.0,0,1
Kingdom Death: Monster – Dung Beetle Knight Expansion,135179,2016,9.05,244,4.0,3,Not Owned,Expansion,5,0,0,0,0,0,0,0
Kingdom Death: Monster – Dung Beetle Knight Expansion,135179,2016,9.05,244,4.0,3,Not Owned,Expansion,6,0,0,0,0,0,0,0
Kingdom Death: Monster – Sunstalker Expansion,135523,2016,9.03,230,4.0,2,Not Owned,Expansion,1,0.0,0,100.0,2,0.0,0,2
